epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,354.074,1.16086,0.66334,1.09664,0.65846,0.62234,0.6489,0.39258,1.19674,0.70207,1.13832,0.000742625,0.000742625,0.000742625
43,361.511,1.18824,0.65578,1.10745,0.64158,0.70732,0.67408,0.40125,1.2221,0.64692,1.14079,0.00073025,0.00073025,0.00073025
44,368.749,1.17197,0.64039,1.12092,0.6715,0.77075,0.7282,0.42495,1.16215,0.61896,1.11678,0.000717875,0.000717875,0.000717875
45,376.324,1.11115,0.64922,1.1062,0.76787,0.71588,0.75156,0.42366,1.22226,0.64022,1.1517,0.0007055,0.0007055,0.0007055
46,383.544,1.15656,0.64461,1.1178,0.68616,0.6004,0.6098,0.36864,1.28077,0.76176,1.18715,0.000693125,0.000693125,0.000693125
47,391.163,1.14802,0.64627,1.08243,0.73005,0.65538,0.648,0.39456,1.20764,0.71383,1.15734,0.00068075,0.00068075,0.00068075
48,398.537,1.15844,0.64315,1.11675,0.73728,0.61225,0.6138,0.36346,1.19291,0.72767,1.15068,0.000668375,0.000668375,0.000668375
49,406.067,1.16755,0.64783,1.1131,0.75147,0.58818,0.62465,0.38049,1.15425,0.68266,1.13901,0.000656,0.000656,0.000656
50,413.593,1.14232,0.63066,1.10444,0.77752,0.73585,0.75488,0.44166,1.21185,0.6421,1.16281,0.000643625,0.000643625,0.000643625
51,421.282,1.14939,0.63739,1.11386,0.7766,0.75868,0.78714,0.45288,1.26916,0.63468,1.16583,0.00063125,0.00063125,0.00063125
52,429.744,1.11799,0.6303,1.08325,0.74508,0.77287,0.77052,0.43796,1.24111,0.64372,1.1551,0.000618875,0.000618875,0.000618875
53,436.828,1.11833,0.61602,1.08478,0.71208,0.68623,0.68493,0.38503,1.32314,0.75325,1.20743,0.0006065,0.0006065,0.0006065
54,444.208,1.1216,0.62166,1.09467,0.73825,0.77569,0.79114,0.4621,1.22729,0.65935,1.15626,0.000594125,0.000594125,0.000594125
55,451.632,1.10812,0.61172,1.09928,0.78302,0.77372,0.81404,0.45055,1.24956,0.6245,1.15475,0.00058175,0.00058175,0.00058175
56,459.094,1.13419,0.63032,1.08178,0.80292,0.758,0.79062,0.45736,1.12563,0.64108,1.11029,0.000569375,0.000569375,0.000569375
57,466.244,1.10258,0.61147,1.07046,0.80293,0.75157,0.77994,0.46081,1.12186,0.6399,1.1043,0.000557,0.000557,0.000557
58,473.612,1.10988,0.61481,1.06261,0.77427,0.7898,0.79676,0.47193,1.14962,0.61441,1.11144,0.000544625,0.000544625,0.000544625
59,481.142,1.06693,0.61987,1.08476,0.81026,0.82196,0.82755,0.48547,1.17354,0.59714,1.12059,0.00053225,0.00053225,0.00053225
60,491.117,1.09355,0.60568,1.09198,0.80634,0.82418,0.83213,0.48978,1.19701,0.60449,1.13078,0.000519875,0.000519875,0.000519875
61,498.795,1.03617,0.58656,1.05355,0.83519,0.77735,0.81209,0.49509,1.16789,0.62652,1.1236,0.0005075,0.0005075,0.0005075
62,506.643,1.06987,0.59354,1.07373,0.75509,0.77814,0.78808,0.49064,1.12065,0.6002,1.10376,0.000495125,0.000495125,0.000495125
63,513.918,1.08381,0.58612,1.07935,0.77682,0.70744,0.74641,0.47616,1.08849,0.61251,1.09579,0.00048275,0.00048275,0.00048275
64,520.957,1.11776,0.59441,1.08353,0.74414,0.76309,0.7724,0.48853,1.07631,0.63108,1.0912,0.000470375,0.000470375,0.000470375
65,528.248,1.07351,0.601,1.06408,0.78821,0.7731,0.81082,0.47849,1.08359,0.60832,1.08593,0.000458,0.000458,0.000458
66,535.298,1.10444,0.60506,1.07793,0.78573,0.81447,0.82214,0.50256,1.05644,0.57219,1.07299,0.000445625,0.000445625,0.000445625
67,542.964,1.0823,0.59858,1.06739,0.78692,0.84894,0.82613,0.51572,1.03956,0.56218,1.06857,0.00043325,0.00043325,0.00043325
68,550.494,1.02618,0.57382,1.0404,0.77897,0.82412,0.82616,0.52919,1.03507,0.55431,1.06847,0.000420875,0.000420875,0.000420875
69,563.054,1.05407,0.58128,1.05544,0.77677,0.82675,0.82571,0.51998,1.09513,0.56517,1.08677,0.0004085,0.0004085,0.0004085
70,570.503,1.06124,0.58178,1.05677,0.84298,0.79709,0.84356,0.52432,1.10139,0.55553,1.07868,0.000396125,0.000396125,0.000396125
71,577.909,1.05652,0.57304,1.04649,0.78764,0.8151,0.8345,0.51731,1.04881,0.54827,1.06596,0.00038375,0.00038375,0.00038375
72,587.411,1.04246,0.56644,1.05567,0.746,0.76809,0.78574,0.48324,1.02447,0.59006,1.0701,0.000371375,0.000371375,0.000371375
73,594.793,1.04954,0.58793,1.05294,0.68854,0.69473,0.69585,0.43281,1.10721,0.68087,1.10828,0.000359,0.000359,0.000359
74,601.922,1.10205,0.58893,1.07712,0.71542,0.71243,0.69655,0.44196,1.07881,0.65039,1.09725,0.000346625,0.000346625,0.000346625
75,609.19,1.01613,0.55548,1.04696,0.80544,0.76744,0.78785,0.4845,1.06221,0.57015,1.08,0.00033425,0.00033425,0.00033425
76,616.22,1.01369,0.556,1.03181,0.7739,0.78001,0.7916,0.50457,1.06367,0.53711,1.07263,0.000321875,0.000321875,0.000321875
77,623.401,1.03378,0.55634,1.04603,0.77059,0.8447,0.81926,0.51367,1.07201,0.53179,1.07381,0.0003095,0.0003095,0.0003095
78,630.329,1.03094,0.56693,1.074,0.8239,0.83257,0.82978,0.51393,1.09756,0.53402,1.08783,0.000297125,0.000297125,0.000297125
79,637.618,1.01319,0.55224,1.03983,0.8484,0.83675,0.84078,0.52048,1.08838,0.53415,1.08464,0.00028475,0.00028475,0.00028475
80,644.583,1.0064,0.53919,1.04118,0.83753,0.84454,0.84907,0.54324,1.05146,0.53092,1.08105,0.000272375,0.000272375,0.000272375
81,655.03,1.01512,0.56114,1.03304,0.83172,0.8461,0.84124,0.53644,1.05124,0.53485,1.08335,0.00026,0.00026,0.00026
82,662.661,1.02564,0.55385,1.05131,0.83609,0.78281,0.82205,0.50963,1.06239,0.54254,1.08526,0.000247625,0.000247625,0.000247625
83,669.793,0.99941,0.54512,1.02938,0.83627,0.81247,0.84751,0.51445,1.07321,0.54411,1.08584,0.00023525,0.00023525,0.00023525
84,677.201,1.01043,0.54215,1.04458,0.80311,0.84731,0.84137,0.51805,1.05665,0.54454,1.0776,0.000222875,0.000222875,0.000222875
85,684.293,1.01507,0.54846,1.03677,0.82494,0.85865,0.85191,0.52606,1.03146,0.54186,1.06959,0.0002105,0.0002105,0.0002105
86,691.632,1.00706,0.54563,1.06043,0.81501,0.84579,0.85241,0.53554,1.02215,0.53295,1.06689,0.000198125,0.000198125,0.000198125
87,698.65,1.02854,0.55401,1.04948,0.83719,0.86346,0.86082,0.54906,1.03607,0.52772,1.06994,0.00018575,0.00018575,0.00018575
88,706.181,0.98309,0.53999,1.02975,0.8039,0.85726,0.84379,0.54836,1.0585,0.52538,1.07754,0.000173375,0.000173375,0.000173375
89,713.21,1.03065,0.53938,1.04599,0.84878,0.80718,0.84592,0.54522,1.03686,0.52495,1.0711,0.000161,0.000161,0.000161
90,720.577,0.9935,0.54178,1.04553,0.84343,0.83005,0.84407,0.53999,1.00922,0.53017,1.06239,0.000148625,0.000148625,0.000148625
91,729.714,1.00493,0.5536,1.09204,0.82943,0.81632,0.82632,0.52771,1.0114,0.53028,1.06317,0.00013625,0.00013625,0.00013625
92,736.95,1.02755,0.54916,1.09171,0.79612,0.81353,0.82381,0.51931,1.01922,0.53024,1.06808,0.000123875,0.000123875,0.000123875
93,744.128,0.9527,0.51475,1.0608,0.81115,0.81821,0.82464,0.51487,1.02837,0.52564,1.07144,0.0001115,0.0001115,0.0001115
94,750.973,0.99393,0.50749,1.04407,0.80286,0.80921,0.82695,0.51792,1.03136,0.52371,1.0729,9.9125e-05,9.9125e-05,9.9125e-05
95,757.966,0.94125,0.49423,1.03234,0.82248,0.80328,0.83199,0.52395,1.03004,0.52203,1.07325,8.675e-05,8.675e-05,8.675e-05
96,764.677,0.94733,0.49464,1.02835,0.81173,0.81077,0.83982,0.53518,1.02817,0.52081,1.07207,7.4375e-05,7.4375e-05,7.4375e-05
97,771.803,0.98998,0.49663,1.06454,0.7878,0.83908,0.83611,0.53667,1.02799,0.5236,1.0721,6.2e-05,6.2e-05,6.2e-05
98,778.569,1.00438,0.50793,1.09029,0.78311,0.84833,0.836,0.53534,1.03164,0.52763,1.07285,4.9625e-05,4.9625e-05,4.9625e-05
99,785.64,0.9439,0.50646,1.05676,0.80068,0.84787,0.84838,0.53855,1.03401,0.52859,1.07381,3.725e-05,3.725e-05,3.725e-05
100,792.388,0.94153,0.48337,1.04631,0.79878,0.88142,0.84024,0.5335,1.03247,0.5275,1.07455,2.4875e-05,2.4875e-05,2.4875e-05
