epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,661.467,1.1458,0.56897,1.02752,0.94316,0.94083,0.96086,0.61382,1.13875,0.51141,1.08388,0.000742625,0.000742625,0.000742625
43,676.348,1.13938,0.53148,1.02816,0.91721,0.94168,0.95528,0.6067,1.14167,0.52975,1.08167,0.00073025,0.00073025,0.00073025
44,691.122,1.12273,0.53703,1.02683,0.93571,0.94598,0.9631,0.60726,1.17048,0.53303,1.08684,0.000717875,0.000717875,0.000717875
45,705.956,1.11876,0.54283,1.01401,0.93612,0.94035,0.96268,0.60543,1.17742,0.52135,1.10371,0.0007055,0.0007055,0.0007055
46,720.818,1.12291,0.52894,1.01069,0.92726,0.94545,0.95869,0.61631,1.1492,0.50565,1.08904,0.000693125,0.000693125,0.000693125
47,735.714,1.1471,0.54128,1.01775,0.92136,0.9525,0.96028,0.61822,1.11989,0.51704,1.07443,0.00068075,0.00068075,0.00068075
48,750.58,1.12061,0.51934,1.0147,0.91871,0.95123,0.95579,0.61213,1.11912,0.50976,1.08151,0.000668375,0.000668375,0.000668375
49,765.384,1.12014,0.51614,1.02811,0.94613,0.93678,0.95927,0.61172,1.14063,0.49568,1.08288,0.000656,0.000656,0.000656
50,780.339,1.11322,0.50073,1.01523,0.94589,0.93236,0.95729,0.61906,1.1476,0.49031,1.08376,0.000643625,0.000643625,0.000643625
51,795.474,1.10908,0.52214,1.00572,0.9406,0.93698,0.95933,0.60991,1.1436,0.51123,1.0764,0.00063125,0.00063125,0.00063125
52,810.898,1.08992,0.51267,1.00257,0.93661,0.94,0.96407,0.62438,1.12587,0.49601,1.07202,0.000618875,0.000618875,0.000618875
53,830.368,1.06409,0.5114,0.99756,0.92559,0.95369,0.9542,0.61824,1.15237,0.50773,1.08436,0.0006065,0.0006065,0.0006065
54,845.554,1.06278,0.49612,1.01381,0.94017,0.94282,0.96654,0.62263,1.14674,0.49539,1.09583,0.000594125,0.000594125,0.000594125
55,860.682,1.06782,0.50703,0.99922,0.93587,0.93637,0.96135,0.60829,1.14099,0.50386,1.08389,0.00058175,0.00058175,0.00058175
56,875.793,1.08751,0.51774,1.00125,0.94131,0.93566,0.95772,0.61261,1.17182,0.50713,1.09417,0.000569375,0.000569375,0.000569375
57,890.757,1.07618,0.50391,0.99153,0.9218,0.94304,0.95373,0.61752,1.15031,0.50215,1.09589,0.000557,0.000557,0.000557
58,905.672,1.06542,0.49908,1.00508,0.92749,0.94862,0.96009,0.62904,1.13441,0.49966,1.08401,0.000544625,0.000544625,0.000544625
59,921.961,1.02822,0.48894,0.97536,0.93927,0.9279,0.96362,0.63679,1.11779,0.5121,1.07677,0.00053225,0.00053225,0.00053225
60,943.196,1.04497,0.49832,0.98312,0.93437,0.94909,0.962,0.63196,1.12688,0.49265,1.08078,0.000519875,0.000519875,0.000519875
61,958.327,1.03155,0.48002,0.99041,0.94266,0.94333,0.95934,0.61393,1.16679,0.49921,1.09789,0.0005075,0.0005075,0.0005075
62,973.606,1.06745,0.49133,0.99419,0.93808,0.94667,0.95998,0.62507,1.14616,0.48268,1.09499,0.000495125,0.000495125,0.000495125
63,988.517,1.03666,0.48265,0.98945,0.94465,0.9425,0.96508,0.63595,1.15581,0.48562,1.09443,0.00048275,0.00048275,0.00048275
64,1003.5,1.03344,0.47552,0.98183,0.93514,0.95083,0.96025,0.62559,1.13983,0.50246,1.09503,0.000470375,0.000470375,0.000470375
65,1019.01,1.02151,0.47258,0.9896,0.92852,0.9425,0.95494,0.61788,1.15557,0.50849,1.09033,0.000458,0.000458,0.000458
66,1034.46,1.0361,0.47313,1.00169,0.93278,0.955,0.95768,0.61809,1.18707,0.48938,1.10707,0.000445625,0.000445625,0.000445625
67,1049.74,1.01154,0.46519,0.97564,0.94007,0.94667,0.95683,0.62312,1.14989,0.47969,1.0918,0.00043325,0.00043325,0.00043325
68,1064.66,1.04459,0.49656,0.98776,0.93789,0.9475,0.95858,0.62586,1.13353,0.49182,1.0835,0.000420875,0.000420875,0.000420875
69,1080.32,1.03156,0.47008,0.96317,0.93913,0.95136,0.96211,0.62734,1.13443,0.47815,1.08616,0.0004085,0.0004085,0.0004085
70,1095.16,1.00961,0.46957,0.97591,0.93041,0.95083,0.96356,0.63111,1.14336,0.48938,1.08817,0.000396125,0.000396125,0.000396125
71,1110.08,0.98546,0.45293,0.96952,0.92312,0.96,0.96253,0.63501,1.13586,0.49134,1.089,0.00038375,0.00038375,0.00038375
72,1124.97,1.01485,0.4784,0.98369,0.92988,0.95167,0.95612,0.62995,1.12966,0.48014,1.08363,0.000371375,0.000371375,0.000371375
73,1140.04,1.02246,0.45964,0.97027,0.93958,0.94603,0.96164,0.63233,1.14311,0.47371,1.0844,0.000359,0.000359,0.000359
74,1155.13,1.00676,0.46148,0.97594,0.94371,0.93583,0.95879,0.63865,1.11406,0.48878,1.07601,0.000346625,0.000346625,0.000346625
75,1175.21,0.97595,0.44699,0.96769,0.93,0.95215,0.96124,0.64437,1.12538,0.47335,1.08135,0.00033425,0.00033425,0.00033425
76,1190.51,0.97011,0.44146,0.96666,0.92381,0.94917,0.96016,0.62855,1.15524,0.48688,1.09504,0.000321875,0.000321875,0.000321875
77,1205.51,1.02765,0.46523,0.97674,0.93954,0.93417,0.96203,0.63847,1.12773,0.47653,1.08131,0.0003095,0.0003095,0.0003095
78,1220.34,0.97761,0.4587,0.97532,0.9342,0.94649,0.96385,0.63768,1.11946,0.47581,1.08291,0.000297125,0.000297125,0.000297125
79,1235.02,0.96521,0.4408,0.96916,0.94729,0.93417,0.96517,0.64215,1.12197,0.46812,1.08314,0.00028475,0.00028475,0.00028475
80,1249.86,1.00305,0.46172,0.98011,0.92739,0.95083,0.95572,0.63426,1.12956,0.47595,1.09622,0.000272375,0.000272375,0.000272375
81,1264.74,0.9592,0.44177,0.95692,0.93721,0.94083,0.95855,0.6347,1.13383,0.47268,1.08938,0.00026,0.00026,0.00026
82,1279.76,0.95288,0.44863,0.95047,0.92523,0.94917,0.95858,0.63791,1.1286,0.47285,1.09203,0.000247625,0.000247625,0.000247625
83,1294.67,0.95853,0.45037,0.95488,0.92826,0.94888,0.95524,0.62738,1.13951,0.47884,1.0994,0.00023525,0.00023525,0.00023525
84,1309.7,0.9468,0.43741,0.9589,0.92789,0.95833,0.96034,0.63166,1.14473,0.46939,1.09731,0.000222875,0.000222875,0.000222875
85,1324.59,0.95279,0.44111,0.94754,0.9324,0.95398,0.96148,0.63134,1.13456,0.46996,1.09341,0.0002105,0.0002105,0.0002105
86,1340.16,0.96157,0.45139,0.97579,0.933,0.95161,0.95644,0.63817,1.11056,0.46791,1.08381,0.000198125,0.000198125,0.000198125
87,1355.62,0.94922,0.4444,0.96635,0.93837,0.93898,0.95474,0.63642,1.11962,0.4773,1.08648,0.00018575,0.00018575,0.00018575
88,1371.07,0.91988,0.43262,0.9504,0.94314,0.93667,0.95512,0.64162,1.11183,0.47892,1.08229,0.000173375,0.000173375,0.000173375
89,1385.93,0.92788,0.44277,0.94383,0.91984,0.9562,0.95331,0.63163,1.11972,0.47772,1.08644,0.000161,0.000161,0.000161
90,1400.87,0.93213,0.42858,0.94618,0.94043,0.94719,0.96217,0.63982,1.11393,0.47292,1.08892,0.000148625,0.000148625,0.000148625
91,1416.9,0.92913,0.4299,0.99757,0.93736,0.95,0.96443,0.64156,1.12173,0.47163,1.08995,0.00013625,0.00013625,0.00013625
92,1431.63,0.92738,0.4186,0.99227,0.93588,0.94917,0.96153,0.63922,1.13777,0.47683,1.09111,0.000123875,0.000123875,0.000123875
93,1446.31,0.90818,0.41247,0.98053,0.9442,0.94478,0.95841,0.63858,1.12721,0.47891,1.09164,0.0001115,0.0001115,0.0001115
94,1460.95,0.90231,0.40523,0.97936,0.93944,0.94367,0.95952,0.6342,1.12962,0.46949,1.09404,9.9125e-05,9.9125e-05,9.9125e-05
95,1475.68,0.88512,0.39751,0.98149,0.93818,0.9475,0.9596,0.62922,1.13209,0.47165,1.09555,8.675e-05,8.675e-05,8.675e-05
