epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,771.445,1.30235,0.64551,1.12211,0.89752,0.92,0.94594,0.54975,1.24755,0.64172,1.13469,0.000742625,0.000742625,0.000742625
43,787.431,1.30613,0.62638,1.13287,0.80272,0.85083,0.86909,0.48497,1.3861,0.99151,1.17289,0.00073025,0.00073025,0.00073025
44,807.846,1.28517,0.6273,1.12851,0.84917,0.77411,0.85852,0.5016,1.38326,1.10031,1.1571,0.000717875,0.000717875,0.000717875
45,823.084,1.21967,0.60995,1.08946,0.91737,0.92523,0.95429,0.5627,1.29791,0.61447,1.13592,0.0007055,0.0007055,0.0007055
46,843.424,1.2547,0.59178,1.08938,0.9359,0.93,0.95195,0.54614,1.33786,0.57795,1.16441,0.000693125,0.000693125,0.000693125
47,858.523,1.25518,0.60793,1.09858,0.93476,0.92917,0.94925,0.4507,1.5956,0.6032,1.23644,0.00068075,0.00068075,0.00068075
48,878.925,1.24946,0.59278,1.10553,0.93037,0.91083,0.9493,0.52202,1.4595,0.61681,1.19646,0.000668375,0.000668375,0.000668375
49,894.37,1.30153,0.60184,1.12334,0.91737,0.92513,0.93339,0.52528,1.3503,0.59825,1.15124,0.000656,0.000656,0.000656
50,919.861,1.27782,0.58656,1.11136,0.92126,0.93605,0.95344,0.5479,1.28808,0.58057,1.14591,0.000643625,0.000643625,0.000643625
51,935.502,1.25714,0.60794,1.09347,0.93281,0.9275,0.95746,0.50323,1.46516,0.61633,1.17754,0.00063125,0.00063125,0.00063125
52,951.541,1.25932,0.58747,1.09504,0.9247,0.91833,0.95261,0.59116,1.23482,0.56036,1.11715,0.000618875,0.000618875,0.000618875
53,972.24,1.24868,0.59161,1.09833,0.93905,0.92833,0.9546,0.56024,1.33369,0.58327,1.15129,0.0006065,0.0006065,0.0006065
54,992.424,1.24332,0.58489,1.1218,0.93314,0.91882,0.95927,0.56882,1.25122,0.5699,1.12912,0.000594125,0.000594125,0.000594125
55,1013.21,1.26686,0.58639,1.10578,0.92019,0.92667,0.95093,0.54902,1.27984,0.58137,1.14219,0.00058175,0.00058175,0.00058175
56,1028.79,1.2262,0.59411,1.08637,0.94703,0.9275,0.95848,0.54277,1.36063,0.58681,1.15335,0.000569375,0.000569375,0.000569375
